SEQ;F#;TYPE;DESCRIPT
;1;PROG;
1;3-8;DATA;AVOMETER
2;9-18;DATA;BC211M
3;19-30;DATA;TEK7854
4;31-32;DATA;LOGOTEK
5;33-37;DATA;B3500
6;38-48;DATA;MY_FLASHDRIVE
7;49-52;DATA;MY4051
8;53-66;DATA;SCH_PWR_4051
9;67-90;DATA;PCB_PWR_4051
10;91-103;DATA;AN_GRC7
